deriv,mode,view,pc,evr_pct,cum_evr_pct,eta2_dish,eta2_variety,eta2_germinated,eta2_germ_day,eta2_dish_within_variety,eta2_germ_day_within_variety
1,transmittance,0h,2,10.741,94.68,0.1307,0.0791,0.0576,0.0122,0.056,0.0209
1,transmittance,0h,3,1.769,96.45,0.1332,0.0296,0.0516,0.0071,0.1068,0.0078
1,transmittance,0h,4,1.201,97.65,0.2518,0.1674,0.0169,0.0221,0.1014,0.0061
1,transmittance,0h,5,0.714,98.36,0.0995,0.0608,0.0069,0.0172,0.0412,0.005
1,transmittance,0h,6,0.609,98.97,0.0681,0.0131,0.0016,0.0039,0.0558,0.0044
1,transmittance,8h,1,84.14,84.14,0.2582,0.1932,0.0346,0.1285,0.0805,0.088
1,transmittance,8h,2,7.079,91.22,0.1968,0.048,0.0451,0.003,0.1563,0.0074
1,transmittance,8h,3,4.674,95.89,0.1466,0.0594,0.0497,0.0868,0.0927,0.0657
1,transmittance,8h,4,1.287,97.18,0.2322,0.1083,0.0152,0.0036,0.139,0.0056
1,transmittance,8h,5,1.026,98.21,0.3524,0.0717,0.0001,0.0187,0.3024,0.0068
1,transmittance,8h,6,0.554,98.76,0.113,0.0761,0.0067,0.0096,0.04,0.0029
1,transmittance,delta,1,76.641,76.64,0.3433,0.1526,0.0419,0.1122,0.225,0.09
1,transmittance,delta,2,8.463,85.1,0.3113,0.1164,0.0,0.0192,0.2206,0.0231
1,transmittance,delta,3,3.736,88.84,0.2354,0.0101,0.0022,0.0125,0.2276,0.0098
1,transmittance,delta,4,3.148,91.99,0.2002,0.0435,0.0218,0.0175,0.1638,0.0137
1,transmittance,delta,5,2.599,94.59,0.411,0.0561,0.0018,0.0095,0.376,0.0116
1,transmittance,delta,6,1.238,95.82,0.1783,0.0666,0.0038,0.0366,0.1196,0.0282
